 ITER          Simple-error          Ya-error
   625      0.76262272E-05      0.34617591E+00
   626      0.76262781E-05      0.34624094E+00
   627      0.76263918E-05      0.34630799E+00
   628      0.76265451E-05      0.34637609E+00
   629      0.76266720E-05      0.34644407E+00
   630      0.76268470E-05      0.34651557E+00
   631      0.76269639E-05      0.34659308E+00
   632      0.76270912E-05      0.34666869E+00
   633      0.76273059E-05      0.34675014E+00
   634      0.76274227E-05      0.34683114E+00
   635      0.76274946E-05      0.34691489E+00
   636      0.76274946E-05      0.34700000E+00
   637      0.76274041E-05      0.34708947E+00
   638      0.76275401E-05      0.34717906E+00
   639      0.76277715E-05      0.34727201E+00
   640      0.76277938E-05      0.34736228E+00
   641      0.76277584E-05      0.34745687E+00
   642      0.76278448E-05      0.34755111E+00
   643      0.76278038E-05      0.34764510E+00
   644      0.76278711E-05      0.34774232E+00
   645      0.76279584E-05      0.34784424E+00
   646      0.76281967E-05      0.34794414E+00
   647      0.76283932E-05      0.34804538E+00
   648      0.76285846E-05      0.34814456E+00
   649      0.76287297E-05      0.34824702E+00
   650      0.76288584E-05      0.34835052E+00
   651      0.76289220E-05      0.34845409E+00
   652      0.76290621E-05      0.34855741E+00
   653      0.76291676E-05      0.34866461E+00
   654      0.76293964E-05      0.34876782E+00
   655      0.76296892E-05      0.34887350E+00
   656      0.76299184E-05      0.34898025E+00
   657      0.76300948E-05      0.34909001E+00
   658      0.76302640E-05      0.34920138E+00
   659      0.76303040E-05      0.34931374E+00
   660      0.76301340E-05      0.34942836E+00
